# 260604_12:13:39.534760
t	CH1	CH2
0.000000e+00	-7.940605e-03	-9.629750e-02
1.000000e-08	4.169240e-03	-3.595029e-01
2.000000e-08	-7.499304e-04	-6.643370e-01
3.000000e-08	1.620007e-03	-9.058498e-01
4.000000e-08	-5.040946e-03	-1.199134e+00
5.000000e-08	-2.728092e-03	-1.520399e+00
6.000000e-08	-1.262638e-03	-1.738905e+00
7.000000e-08	3.252594e-02	-2.029509e+00
8.000000e-08	1.355197e-01	-2.314767e+00
9.000000e-08	-3.201456e-02	-2.695851e+00
1.000000e-07	-4.475385e-02	-3.146847e+00
1.100000e-07	-2.197563e-02	-3.411081e+00
1.200000e-07	-4.484531e-02	-3.591557e+00
1.300000e-07	-1.133115e-01	-3.913667e+00
1.400000e-07	1.316934e-01	-4.081610e+00
1.500000e-07	-2.722334e-02	-4.326371e+00
1.600000e-07	-6.809205e-02	-4.722136e+00
1.700000e-07	2.188995e-01	-4.912616e+00
1.800000e-07	-2.185245e-01	-5.280063e+00
1.900000e-07	1.898796e-01	-5.565695e+00
2.000000e-07	-1.416714e-01	-5.838930e+00
2.100000e-07	-2.496097e-03	-6.185721e+00
2.200000e-07	1.304066e-01	-6.385199e+00
2.300000e-07	-1.516761e-01	-6.740582e+00
2.400000e-07	2.053798e-01	-6.963221e+00
2.500000e-07	-1.892773e-01	-7.280035e+00
2.600000e-07	1.123951e-01	-7.604192e+00
2.700000e-07	-4.378230e-02	-7.785780e+00
2.800000e-07	-2.861495e-02	-8.162112e+00
2.900000e-07	1.103728e-01	-8.373611e+00
3.000000e-07	-1.409604e-01	-8.617427e+00
3.100000e-07	1.657403e-01	-8.911511e+00
3.200000e-07	-1.282872e-01	-9.132562e+00
3.300000e-07	6.682082e-02	-9.415641e+00
3.400000e-07	-5.321396e-02	-9.595650e+00
3.500000e-07	1.481365e-02	-9.848875e+00
3.600000e-07	5.983722e-02	-1.005993e+01
3.700000e-07	-6.084411e-02	-1.038046e+01
3.800000e-07	8.266957e-02	-1.057211e+01
3.900000e-07	-1.014777e-01	-1.080314e+01
4.000000e-07	9.909881e-02	-1.105671e+01
4.100000e-07	-8.200543e-02	-1.121510e+01
4.200000e-07	6.441539e-02	-1.147679e+01
4.300000e-07	-4.936256e-02	-1.165735e+01
4.400000e-07	3.871750e-02	-1.197990e+01
4.500000e-07	-6.510698e-03	-1.215085e+01
4.600000e-07	-4.374328e-03	-1.235043e+01
4.700000e-07	1.038704e-02	-1.248043e+01
4.800000e-07	-1.842953e-02	-1.274942e+01
4.900000e-07	4.341051e-02	-1.293669e+01
5.000000e-07	-3.176619e-02	-1.309927e+01
5.100000e-07	2.840361e-02	-1.321467e+01
5.200000e-07	-3.806032e-02	-1.341509e+01
5.300000e-07	3.661219e-02	-1.362243e+01
5.400000e-07	-2.013530e-02	-1.376990e+01
5.500000e-07	2.657537e-02	-1.391988e+01
5.600000e-07	-1.564027e-02	-1.406377e+01
5.700000e-07	1.797835e-02	-1.424403e+01
5.800000e-07	-1.835845e-03	-1.440088e+01
5.900000e-07	2.475986e-03	-1.453877e+01
6.000000e-07	-4.525399e-03	-1.462506e+01
6.100000e-07	-1.132971e-05	-1.480083e+01
6.200000e-07	1.475601e-02	-1.488572e+01
6.300000e-07	9.592034e-04	-1.497153e+01
6.400000e-07	8.549165e-03	-1.514870e+01
6.500000e-07	-7.552958e-03	-1.522348e+01
6.600000e-07	1.375743e-02	-1.532857e+01
6.700000e-07	-6.022018e-05	-1.541937e+01
6.800000e-07	1.179430e-02	-1.550724e+01
6.900000e-07	-3.548694e-03	-1.557978e+01
7.000000e-07	1.103183e-02	-1.564556e+01
7.100000e-07	3.028452e-03	-1.567572e+01
7.200000e-07	7.478196e-03	-1.581087e+01
7.300000e-07	-1.584527e-03	-1.584298e+01
7.400000e-07	5.964118e-03	-1.594674e+01
7.500000e-07	1.140557e-02	-1.600879e+01
