# Temperatura_=_22.85
# Concentracion g/m^3_=_5700.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301514.63180487

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.272040e-06	-4.181056e-09	-5.762558e+01	-2.790636e+02
1.000000e-08	-8.268174e-06	-4.187265e-09	-5.759864e+01	-2.789366e+02
2.000000e-08	-8.261662e-06	-4.185964e-09	-5.755328e+01	-2.789749e+02
3.000000e-08	-8.252502e-06	-4.184730e-09	-5.748947e+01	-2.790529e+02
4.000000e-08	-8.240437e-06	-4.181199e-09	-5.740542e+01	-2.789569e+02
5.000000e-08	-8.225358e-06	-4.174409e-09	-5.730038e+01	-2.785320e+02
6.000000e-08	-8.207434e-06	-4.150550e-09	-5.717552e+01	-2.778112e+02
7.000000e-08	-8.187041e-06	-4.112740e-09	-5.703345e+01	-2.770245e+02
8.000000e-08	-8.163904e-06	-4.204756e-09	-5.687227e+01	-2.764645e+02
9.000000e-08	-8.137397e-06	-4.266864e-09	-5.668762e+01	-2.762891e+02
1.000000e-07	-8.107602e-06	-4.209912e-09	-5.648005e+01	-2.763987e+02
1.100000e-07	-8.074853e-06	-4.191814e-09	-5.625191e+01	-2.764831e+02
1.200000e-07	-8.039258e-06	-4.218983e-09	-5.600395e+01	-2.762204e+02
1.300000e-07	-8.001200e-06	-4.150405e-09	-5.573883e+01	-2.754955e+02
1.400000e-07	-7.961011e-06	-4.016883e-09	-5.545885e+01	-2.744846e+02
1.500000e-07	-7.918128e-06	-4.178123e-09	-5.516011e+01	-2.735410e+02
1.600000e-07	-7.872213e-06	-4.104467e-09	-5.484026e+01	-2.729532e+02
1.700000e-07	-7.823525e-06	-4.069504e-09	-5.450108e+01	-2.727446e+02
1.800000e-07	-7.771750e-06	-4.208833e-09	-5.414040e+01	-2.726578e+02
1.900000e-07	-7.716975e-06	-4.069282e-09	-5.375882e+01	-2.723371e+02
2.000000e-07	-7.659371e-06	-4.091095e-09	-5.335754e+01	-2.715822e+02
2.100000e-07	-7.598956e-06	-4.041865e-09	-5.293667e+01	-2.704905e+02
2.200000e-07	-7.535932e-06	-4.043717e-09	-5.249762e+01	-2.693844e+02
2.300000e-07	-7.470094e-06	-4.070771e-09	-5.203897e+01	-2.685746e+02
2.400000e-07	-7.401480e-06	-4.042833e-09	-5.156099e+01	-2.681283e+02
2.500000e-07	-7.330209e-06	-4.063553e-09	-5.106449e+01	-2.678129e+02
2.600000e-07	-7.256147e-06	-4.007755e-09	-5.054855e+01	-2.672557e+02
2.700000e-07	-7.179225e-06	-4.032830e-09	-5.001269e+01	-2.662088e+02
2.800000e-07	-7.099482e-06	-3.966149e-09	-4.945717e+01	-2.647267e+02
2.900000e-07	-7.017092e-06	-3.941857e-09	-4.888323e+01	-2.631316e+02
3.000000e-07	-6.932294e-06	-3.972829e-09	-4.829249e+01	-2.617881e+02
3.100000e-07	-6.845189e-06	-3.953161e-09	-4.768570e+01	-2.608510e+02
3.200000e-07	-6.755676e-06	-3.978797e-09	-4.706212e+01	-2.601620e+02
3.300000e-07	-6.663759e-06	-3.923979e-09	-4.642180e+01	-2.593664e+02
3.400000e-07	-6.569513e-06	-3.885006e-09	-4.576525e+01	-2.581620e+02
3.500000e-07	-6.472823e-06	-3.853198e-09	-4.509167e+01	-2.565016e+02
3.600000e-07	-6.373807e-06	-3.846015e-09	-4.440190e+01	-2.546115e+02
3.700000e-07	-6.272550e-06	-3.832162e-09	-4.369652e+01	-2.528205e+02
3.800000e-07	-6.168925e-06	-3.808825e-09	-4.297463e+01	-2.513307e+02
3.900000e-07	-6.062993e-06	-3.818860e-09	-4.223668e+01	-2.500923e+02
4.000000e-07	-5.954974e-06	-3.788986e-09	-4.148418e+01	-2.488614e+02
4.100000e-07	-5.844907e-06	-3.763171e-09	-4.071742e+01	-2.473863e+02
4.200000e-07	-5.732609e-06	-3.710484e-09	-3.993512e+01	-2.455791e+02
4.300000e-07	-5.618097e-06	-3.685531e-09	-3.913740e+01	-2.435522e+02
4.400000e-07	-5.501420e-06	-3.677359e-09	-3.832459e+01	-2.415074e+02
4.500000e-07	-5.382548e-06	-3.667306e-09	-3.749648e+01	-2.395729e+02
4.600000e-07	-5.261658e-06	-3.631440e-09	-3.665433e+01	-2.377137e+02
4.700000e-07	-5.138935e-06	-3.584546e-09	-3.579940e+01	-2.357757e+02
4.800000e-07	-5.014401e-06	-3.557754e-09	-3.493186e+01	-2.336173e+02
4.900000e-07	-4.888071e-06	-3.524909e-09	-3.405181e+01	-2.312216e+02
5.000000e-07	-4.759972e-06	-3.493215e-09	-3.315943e+01	-2.287018e+02
5.100000e-07	-4.630122e-06	-3.450881e-09	-3.225486e+01	-2.262035e+02
5.200000e-07	-4.498635e-06	-3.423143e-09	-3.133887e+01	-2.237860e+02
5.300000e-07	-4.365577e-06	-3.394671e-09	-3.041195e+01	-2.213755e+02
5.400000e-07	-4.231029e-06	-3.354383e-09	-2.947465e+01	-2.188249e+02
5.500000e-07	-4.094899e-06	-3.299081e-09	-2.852633e+01	-2.160272e+02
5.600000e-07	-3.957097e-06	-3.251806e-09	-2.756636e+01	-2.129926e+02
5.700000e-07	-3.817790e-06	-3.219315e-09	-2.659590e+01	-2.098313e+02
